market_code,market_name,region,position,popularity,track_id,track_name,track_href,duration_ms,explicit,artist_id,artist_name,artist_followers,artist_popularity,artist_genres,album_id,album_name,album_type,release_date,total_tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,collection_date,collection_time
AR,Argentina,LATAM,44,68,6vRQqxOhUFd78p5tL8jXr7,La Morocha,https://open.spotify.com/track/6vRQqxOhUFd78p5tL8jXr7,134144,False,4kcQWQDK0u9AftVSpdrAgk,Luck Ra,1797634,77,"trap argentino,trap triste",3X0T1blaMiY2aev0wrbK1G,QUE NOS FALTE TODO,album,2024-02-02,11,0.756,0.769,7,-5.752,1,0.0342,0.0973,0.0,0.279,0.973,149.109,4,2024-10-31,09:03:48
AR,Argentina,LATAM,45,79,7eNwwoxDR8KVzNAuGvliAO,Kyoto,https://open.spotify.com/track/7eNwwoxDR8KVzNAuGvliAO,247840,True,3E12tRURRvPfHz0hAMCFYc,Omar Courtz,376316,82,"trap boricua,trap latino,urbano latino",6YOCVR0kA8mO2nWE8LINKa,Kyoto,single,2023-07-14,1,0.732,0.753,9,-4.269,0,0.0512,0.235,1.74e-05,0.568,0.405,94.978,4,2024-10-31,09:03:49
AR,Argentina,LATAM,46,71,5f4mOETLngamMDTJnbF9s7,Exclusive.mp3,https://open.spotify.com/track/5f4mOETLngamMDTJnbF9s7,120600,False,0AqlFI0tz2DsEoJlKSIiT9,Emilia,3704541,81,pop argentino,2qo8j9yZIsx66yDuUho2jp,.mp3,album,2023-11-03,13,0.858,0.677,8,-4.294,1,0.118,0.106,0.0,0.246,0.584,100.046,4,2024-10-31,09:03:50
AR,Argentina,LATAM,47,73,0EhmTBq33eARyOz3SIi4P2,En Otra Vida,https://open.spotify.com/track/0EhmTBq33eARyOz3SIi4P2,153609,False,4RWJOoYwgF978LOn8Fainp,Yami Safdie,278345,68,cantautora argentina,2YB2eziTKgn9bnRz7prmoP,En Otra Vida,single,2024-10-10,1,0.459,0.162,0,-11.634,1,0.0425,0.929,0.0,0.137,0.483,184.784,3,2024-10-31,09:03:51
AR,Argentina,LATAM,48,69,7JKptWv4YXmievid0HajID,HOLA PERDIDA,https://open.spotify.com/track/7JKptWv4YXmievid0HajID,166536,False,4kcQWQDK0u9AftVSpdrAgk,Luck Ra,1797634,77,"trap argentino,trap triste",3X0T1blaMiY2aev0wrbK1G,QUE NOS FALTE TODO,album,2024-02-02,11,0.482,0.794,2,-5.86,0,0.0835,0.187,0.0,0.744,0.565,154.921,4,2024-10-31,09:03:51
AR,Argentina,LATAM,49,80,7MVIfkyzuUmQ716j8U7yGR,Rara Vez,https://open.spotify.com/track/7MVIfkyzuUmQ716j8U7yGR,128677,False,19HM5j0ULGSmEoRcrSe5x3,Milo j,4999451,83,"trap argentino,trap latino,urbano latino",26wRfIX4WqKLKHll9O3KnF,Rara Vez,single,2023-02-08,1,0.838,0.708,5,-4.668,0,0.166,0.176,0.0,0.343,0.96,119.984,4,2024-10-31,09:03:52
AR,Argentina,LATAM,50,70,0CgpCtEPvyDizcg2p47VrU,A las Nueve,https://open.spotify.com/track/0CgpCtEPvyDizcg2p47VrU,207533,False,4ZDoy7AWNgQVmX7T0u0B1j,No Te Va Gustar,2365561,70,"latin alternative,reggae uruguayo,rock en espanol,rock uruguayo",1rfWo44UYWqM3a99Vknlc3,El Calor Del Pleno Invierno,album,2012-10-18,14,0.625,0.804,4,-5.652,0,0.0268,0.236,8.22e-05,0.308,0.827,129.931,4,2024-10-31,09:03:53
BR,Brasil,LATAM,1,80,6s1kzj4EbhFLXbuAGJbhbn,Barbie,https://open.spotify.com/track/6s1kzj4EbhFLXbuAGJbhbn,192755,False,6aoGgTKGqtsjj48ymcNs4Z,MC Tuto,896068,80,funk consciente,6MNtIXqAF51SJfAyETEtjL,Barbie,single,2024-10-18,1,0.955,0.425,3,-8.242,0,0.43,0.711,0.0,0.101,0.716,127.032,4,2024-10-31,09:03:54
BR,Brasil,LATAM,2,73,63BroH3HiwxYD8T5qTZiJn,A Noite (La Notte) - Ao Vivo,https://open.spotify.com/track/63BroH3HiwxYD8T5qTZiJn,201557,False,7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,21783819,82,"agronejo,arrocha,sertanejo,sertanejo universitario",3c1EWuqoXW71z03rvyogVr,Embaixador Acústico - Ao Vivo,album,2024-10-02,25,0.752,0.518,11,-5.757,1,0.0349,0.6,0.0,0.101,0.577,145.957,4,2024-10-31,09:03:55
BR,Brasil,LATAM,3,82,1wubETHu3SeJHfbz9itEH0,Última Saudade - Ao Vivo,https://open.spotify.com/track/1wubETHu3SeJHfbz9itEH0,150449,False,3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,23860705,86,"agronejo,arrocha,musica tocantinense,sertanejo,sertanejo universitario",4HothMjvojSA740SFUAiRC,Manifesto Musical 2 (Ao Vivo / EP1),single,2024-09-27,4,0.443,0.7,6,-5.196,1,0.0422,0.605,0.0,0.634,0.572,153.383,4,2024-10-31,09:03:56
